no,nama,npsn,nama singkat,kode_pos,telepon,fax,email,alamat,kota,provinsi,Negara,lintang,bujur,akreditasi,Status ,rank_qs,rank_country
13,Akademi Analis Kesehatan An Nasher Cirebon,44132,AAK An Nasher,45611,(0231) 322919,(0231) 322919,info@aakannasher.ac.id,PP. Tarbiyatul Banin Kaliwadas Sumber Cirebon,Cirebon,Jawa Barat,Indonesia,-6.7478085,108.4812845,Baik,swasta,NULL,NULL
14,Institut Agama Islam Bunga Bangsa Cirebon ,212056,IAI BBC,45153,(0231)246215,(0231)246215,staibbc.cirebon@gmail.com,Jln. Widarasari III-Tuparev Cirebon,Cirebon,Jawa Barat,Indonesia,-6.71327,108.543578,Baik,swasta,NULL,NULL
15,STIKES Tanawali Takalar,93148,NULL,92012,41822000,4182200,info@stikestanawali.ac.id,Jalan Jenderal Sudirman No 23 ,NULL,NULL,Indonesia,0,0,Baik,swasta,NULL,NULL
16,Akademi Kebidanan Nurul Hasanah,134021,AKBID YNH,64561,82269007606,62921934, akbidynh@gmail.com,Jl Ahmad Yani No 23 Pulo Kemiri,Aceh Tenggara,Aceh,Indonesia,3.49517,97.807816,NULL,swasta,NULL,NULL
17,Akademi Bahasa Asing Internasional Bandung,44133,ABA Internasional ,40221,"022  6005133, 68030","022  6005133, 68030",info@abainter.ac.id,"Jalan Soekarno Hatta No 22 Bandung
Jalan Parahyangan Km. 1,2, Kota Baru Parahya",NULL,NULL,Indonesia,0,0,NULL,swasta,NULL,NULL
18,Akademi Perikanan Bhima Sakti,24015,NULL,34196,8127252725,NULL,NULL,Jalan Pramuka Labuhan Ratu II Lampung Timur,NULL,NULL,Indonesia,0,0,NULL,swasta,NULL,NULL
19,Akademi Keperawatan Bahrul  Ulum Jombang,74038,AKPER BU,61451,321876040,321876040,akperbu2001@gmail.com,Jl KH A Wahab Chasbullah Gg Iv Tambakberas,NULL,NULL,Indonesia,0,0,NULL,swasta,NULL,NULL
20,Politeknik Kelautan dan Perikanan Karawang,395004,Poltek KP Karawang,NULL,0267 409704,NULL,panitera@poltekkpkarawang.ac.id,NULL,Karawang,Jawa Barat,Indonesia,-6.283837,107.303326,Baik Sekali,swasta,NULL,NULL
21,Universitas Muhadi Setiabudi,61036,UMUS,52252,(0283) 6199000,(0283) 6199001,umus@umus.ac.id," Jl. P. Diponegoro Km 2 Pesantunan, Wanasari Brebes – Jawa Tengah
",Brebes,Jawa Tengah,Indonesia,-6.8652962,109.0178671,Baik Sekali,swasta,NULL,NULL
22,Sekolah Tinggi Ilmu Ekonomi Ottow & Geissler Serui,143011,STIE OG SERUI,98111,98332869,98332869,stieogs@gmail.com,Jalan Hasanudin Serui ,Kepulauan Yapen,Papua,Indonesia,-1.8755445,136.2386442,Baik,swasta,NULL,NULL
23,STMIK Asia Malang,73116,STMIK ASIA Malang,61234,341478877,3414345225,asia@asia.ac.id,Jl. Soekarno Hatta - Rembuksari 1A Malang   ,Malang,Jawa Timur,Indonesia,-7.937792,112.626839,NULL,swasta,NULL,NULL
24,Akademi Keuangan Perbankan Tahuna,164005,AKP GMIST Tahuna,95812,43222860,43221403,akptahuna@ymail.com,Jalan Gereja Komplek Sinode GMIST,Kepulauan Sangihe,Sulawesi Utara,Indonesia,3.608893,125.487178,Baik,swasta,NULL,NULL
25,Politeknik Tiara Bunda,45049,Poltek Tiara Bunda,NULL,217541172,217541172,poltektiarabunda@gmail.com,NULL,Depok,Jawa Barat,Indonesia,-6.3363896,106.7815864,Baik,swasta,NULL,NULL
26,Universitas Musamus Merauke,1051,UNMUS,99611,971330651,971325976,info@unmus.ac.id,Jalan Kamizaun Mopah Lama Merauke ,Merauke,Papua Selatan,Indonesia,-8.530949,140.417149,Baik Sekali,negeri,NULL,NULL
27,Sekolah Tinggi Perikanan,393001,STP Jakarta,12520,021 7806874,021 7805030 / 021 78,akademik_baakstp@yahoo.co.id, Jl. AUP No. 1 Pasar Minggu Jakarta,Administrasi Jakarta Selatan,DKI Jakarta,Indonesia,-6.294446,106.835814,NULL,swasta,NULL,NULL
28,Universitas Ma'arif Lampung,211003,UMALA,NULL,(0725) 7851430,(0725) 7851430,rektorat@umala.ac.id,NULL,Metro,Lampung,Indonesia,-5.09175,105.28763,Baik Sekali,swasta,NULL,NULL
29,Sekolah Tinggi Ilmu Tarbiyah Mamba'ul Hikam Pali Sumsel,213663,STIT-MH PALI,31151,81335721333,NULL,stitmambaulhikam@gmail.com,"Jl. Raya Prambatan Ds. Prambatan, Kecamatan Abab, Kabupaten Penukal Abab Lematang Ilir, Provinsi Sumatera Selatan",Penukal Abab Lematang Ilir,Sumatera Selatan,Indonesia,-3.1609374,104.1625175,NULL,swasta,NULL,NULL
30,Universitas Methodist Indonesia,11006,UMI MEDAN,20152,614536465,614567533,info@methodist.ac.id,Jalan Hang Tuah No 8 ,Labuhanbatu Selatan,Sumatera Utara,Indonesia,1.5798829,100.3623782,Baik Sekali,swasta,NULL,NULL
31,Akademi Komunitas Bisnis Internasional,36002,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Indonesia,0,0,NULL,swasta,NULL,NULL
32,Politeknik Muhammadiyah Pekalongan,65019,POLITEKNIK MUHAMMADI,51161,0285 385313,0285 385313,admin@politeknikmuhpkl.ac.id,Jalan Pahlawan No 10 Kajen,Pekalongan,Jawa Tengah,Indonesia,-7.0219,109.58461,NULL,swasta,NULL,NULL
33,Institut Teknologi Bisnis Riau,172016,ITB Riau,NULL,82173336050,NULL,itbriau@gmail.com,NULL,Pekanbaru,Riau,Indonesia,0.4776927,101.3945381,NULL,swasta,NULL,NULL
34,Politeknik Baubau,95009,POLTEK BAUBAU,NULL,4022823600,4022823600,info@poltekbaubau.ac.id,Jl. Lakarambu,Bau Bau,Sulawesi Tenggara,Indonesia,-5.4791878,122.5876571,Baik,swasta,NULL,NULL
35,Sekolah Tinggi Manajemen Transportasi Malahayati,33143,STMT MALAHAYATI,14150,021 21483354,021 44854101,stmt_malahayati@yahoo.com,"Jl Sungai Tirem No 43, Marunda Baru- Cilincing Jakarta Utara",Administrasi Jakarta Utara,DKI Jakarta,Indonesia,-6.123153,106.957,Baik,swasta,NULL,NULL
36,Sekolah Tinggi Seni Rupa Dan Desain Visi Indonesia,53039,STSRD VISI,55151,274377787,274388680,info@stsrdvisi.ac.id,Jl. Taman Siswa No. 150 B ,Yogyakarta,Daerah Istimewa Yogyakarta,Indonesia,-7.813472,110.376264,B,swasta,NULL,NULL
37,AMIK Master Lampung,24030,NULL,35116,8117901010,721251676,amikmaster96@gmail.com,Jalan Kartini No 33 Blok 6-10 ,NULL,NULL,Indonesia,0,0,NULL,swasta,NULL,NULL
38,Politeknik Ganesha Medan,15004,POLGAN,20000,618440344,618440344,polganmedan@gmail.com,"KAMPUS 1. JL.VETERAN KOMP. BRAYAN TRADE CENTER (BTC) NO. 39-41 
KAMPUS 2. JL. A",NULL,NULL,Indonesia,0,0,Baik,swasta,NULL,NULL
39,Akademi Komunitas Kosmetik Ristra,36001,NULL,     ,NULL,NULL,NULL,"Jl. Bintaro Permai No. 29, Bintaro",NULL,NULL,Indonesia,0,0,NULL,swasta,NULL,NULL
40,Universitas Katolik Widya Karya,71026,UKWK,65115,341553171,341560596,widyakarya@widyakarya.ac.id,Jalan Bondowoso No 2 ,Malang,Jawa Timur,Indonesia,-7.968536,112.617703,Baik,swasta,NULL,NULL
41,Sekolah Tinggi Ilmu Komunikasi ITKP,33151,NULL,12140,021 7227338,021 7227340,adschool@itkp.ac.id,Radio Dalam Center Jl Kramat Pela 40 A-b,NULL,NULL,Indonesia,0,0,NULL,swasta,NULL,NULL
42,Universitas Dharmas Indonesia,101027,UNDHARI,27581, ,NULL,undhari@gmail.com,Jl Lintas Sumatera km 18 Koto Baru,Dharmasraya,Sumatera Barat,Indonesia,-1.058547,101.643816,Baik,swasta,NULL,NULL
43,Akademi Keperawatan Adi Husada,74078,NULL,60272,313721750,313721700,info@akper-adihusada.ac.id,Jalan Manggar No 9 ,NULL,NULL,Indonesia,0,0,NULL,swasta,NULL,NULL
44,STAK Wiyata Wacana Pati,233157,STAKWW,59112,295384433,295384433, stakww@yahoo.com, Jl. Pangeran Diponegoro No.33 ,Pati,Jawa Tengah,Indonesia,-6.747868,111.030314,Baik,swasta,NULL,NULL
45,"STAI Pelabuhan Ratu, Sukabumi",213124,STAIP,43364,2666446226,2666446226,akademik@staip.ac.id,Jl. Siliwangi No. 95 Palabuhanratu,Sukabumi,Jawa Barat,Indonesia,-6.9879614,106.5462444,Baik,swasta,NULL,NULL
46,Sekolah Tinggi Ekonomi Syariah Tunas Palapa Lampung Tengah,213650,STES TP,34163,85273732353,NULL,stestunaspalapatbb@gmail.com,"Jl. Indra Putra Subing Nomor 1 Bandar Jaya Kab. Lampung Tengah
",Tulang Bawang Barat,Lampung,Indonesia,-4.6378676,105.0782424,NULL,swasta,NULL,NULL
47,Institut Teknologi dan Bisnis Palcomtech,22014,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Indonesia,0,0,Baik Sekali,swasta,NULL,NULL
48,Sekolah Tinggi Ilmu Administrasi Pagaruyung,103039,NULL,27211,752574112,75271171,stiapagaruyung@gmail.com,batusangkar - Sumatera Barat,Merangin,Jambi,Indonesia,-2.093708,102.251567,Baik,swasta,NULL,NULL
49,STIE Mikroskil,13165,Mikroskil,20212,614573767,614567789,info@mikroskil.ac.id,"Jln. Thamrin No. 112, 124, 140
Kelurahan Sei Rengas II
",NULL,NULL,Indonesia,0,0,NULL,swasta,NULL,NULL
50,Akademi Litigasi Indonesia Pengayoman,34081,NULL,10570,(021) 4227227,(021) 4201001,NULL,Jl Percetakan Negara Vii No 2 Rawasari,NULL,NULL,Indonesia,0,0,NULL,swasta,NULL,NULL
51,Universitas Cipta Mandiri,131018,UNCM,23615,82289901960,NULL,info@uncm.ac.id,"Jl. Lintas Barat Sumatera, Peunaga Cut Ujong, Kecamatan Meureubo",Aceh Barat,Aceh,Indonesia,4.1143348,96.1909154,NULL,swasta,NULL,NULL
52,Sekolah Tinggi Ilmu Teknik Jembrana,83038,STITNA,81123,36541483,36541483,info.stitjembrana@gmail.com,Jalan Udayana N0.38 Negara,Jembrana,Bali,Indonesia,-8.357679,114.625835,NULL,swasta,NULL,NULL
53,Sekolah Tinggi Teknologi Pomosda,73113,STT POMOSDA,64483,358773352,358773351,info@stt-pomosda.ac.id,Jalan KH Wachid Hasyim No 304 Tanjunganom,Nganjuk,Jawa Timur,Indonesia,-7.6388111,112.036882,Baik,swasta,NULL,NULL
54,Apikes Widya Dharma,24034,APIKES WIDYA DHARMA ,30118,711414561,711414561,apikeswdplg@gmail.com, Jalan Kolonel H. Burlian No. 342 Km. 5 Palembang 30153 Provinsi Sumatera Selata,NULL,NULL,Indonesia,0,0,C,swasta,NULL,NULL
55,Akademi Kebidanan Borneo Medistra,114078,Akbid Bormed,76125,0542  730555,0542  732422,info@akbidborneomedistra.ac.id,Jl. Indrakila Start III Gunung Stelling No. 99 Balikpapan,Balikpapan,Kalimantan Timur,Indonesia,-1.2330198,116.8481385,Baik,swasta,NULL,NULL
56,Politeknik Bombana,95018,POLINA,NULL,85392223230,NULL,admin@politeknikbombana.ac.id,NULL,Bombana,Sulawesi Tenggara,Indonesia,-4.6952644,122.0251679,Baik,swasta,NULL,NULL
57,STIU Al-Mujtama Pamekasan,213435,STAI Al-Mujtama',69361,324351044,NULL,info@stiu-almujtama.ac.id,Jl. Raya Pegantenan Km. 09 Plakpak Pegantenan Pamekasan Madura,Bojonegoro,Jawa Timur,Indonesia,-7.4365744,111.7403105,NULL,swasta,NULL,NULL
58,Universitas Islam Al-Aziziyah Indonesia,211020,UNISAI,24264,NULL,NULL,NULL,"Jalan Masjid Raya KM 1,5, Desa Mideun Jok, Kecamatan Samalanga",Bireuen,Aceh,Indonesia,5.2016842,96.3544643,Baik,swasta,NULL,NULL
59,Sekolah Tinggi Ilmu Sosial Teminabuan,143049,STIS Teminabuan,NULL,NULL,NULL,stisteminabuanofficial@gmail.com,NULL,Sorong Selatan,Papua Barat Daya,Indonesia,-1.4675069,132.0348888,NULL,swasta,NULL,NULL
60,Akademi Maritim Nusantara Cilacap,64018,AMN,53223,2825070154,282540565,amncilacap@gmail.com,Jalan Kendeng No 307  Kel. Sidanegara,NULL,NULL,Indonesia,0,0,B,swasta,NULL,NULL
61,STKIP Nahdlatul Ulama Kabupaten Tegal,63100,STKIP NU Tegal,NULL,283491576,NULL,stkipnutegalkab@gmail.com,NULL,NULL,NULL,Indonesia,0,0,Baik,swasta,NULL,NULL
62,Universitas Darunnajah,31074,UDN,NULL,81240001302,81240001302,rektorat@darunnajah.ac.id,NULL,Administrasi Jakarta Selatan,DKI Jakarta,Indonesia,-6.2375221,106.7642033,Baik,swasta,NULL,NULL
63,Sekolah Tinggi Teologi Anugerah Misi Nias Barat,233366,STTAM NIAS BARAT,NULL,81375197734,NULL,stt.anugerahmisi@gmail.com,NULL,Nias,Sumatera Utara,Indonesia,1.1657565,97.5448525,Baik,swasta,NULL,NULL
64,Sekolah Tinggi Kesejahteraan Sosial (STKS) ,453001,STKS Bandung,40135,222504838,222502962,humas@stks.ac.id, Jl. Ir. H. Juanda Nomor 367 Bandung Jawa Barat,Bandung,Jawa Barat,Indonesia,-6.872637,107.619071,NULL,swasta,NULL,NULL
65,Universitas Bondowoso,71037,UNIBO,68213,(0332) 427022,(0332) 422903,univ.bondowoso247@gmail.com,"Jl. Diponegoro No. 247 Kelurahan Kotakulon, Kecamatan Kota Bondowoso, Kab. Bondowoso",Bondowoso,Jawa Timur,Indonesia,-7.9051794,113.8071477,Baik,swasta,NULL,NULL
66,Institut Teknologi dan Bisnis Sumatera Utara,12012,NULL,NULL,NULL,NULL,NULL,Jl. Karya No. 183 Kelurahan Karang Berombak,NULL,NULL,Indonesia,0,0,NULL,swasta,NULL,NULL
67,STAK Oikumene Noseni Biak Numfor,233068,NULL,0,NULL,NULL,NULL, ,NULL,NULL,Indonesia,0,0,NULL,swasta,NULL,NULL
68,STIT Muhammadiyah Pacitan,213268,STIT MUHAMMADIYAH PA,63512,(0357)886505,(0357)886505,admin@inismupacitan.ac.id,JL. GAJAH MADA 20 PACITAN,NULL,NULL,Indonesia,0,0,Baik,swasta,NULL,NULL
69,Akademi Kebidanan Ngudia Husada Madura,74070,AKBID NHM,69116,031 3061522,031 3091871,akbid@nhm.ac.id,Jalan RE Martadinata No. 45 Bangkalan,NULL,NULL,Indonesia,0,0,NULL,swasta,NULL,NULL
70,STAI Ahsanta Jambi,213017,STAI Ahsanta Jambi,36135,(0741) 40251 ,(0741) 40251 ,"ahsantastai@gmail.com, info@ahsanta.ac.id "," Jln. Prof. Dr. Sumanteri Brojonegoro Kompleks Setya Negara, Sipin, Jambi",NULL,NULL,Indonesia,0,0,Baik,swasta,NULL,NULL
71,Politeknik Bosowa,95007,POLTEKBOS,90245,(0411) 4720012,(0411) 4720013,info@politeknikbosowa.ac.id,Jl. Kapasa Raya No.17 Makassar,Makassar,Sulawesi Selatan,Indonesia,-5.1003482,119.4967803,Baik,swasta,NULL,NULL
72,Universitas Siber Muhammadiyah,51027,SiberMu,55253,85171217175,NULL,humas@sibermu.ac.id,Jl. HOS Cokroaminoto No. 17 Pakuncen Wirobrajan ,Yogyakarta,Daerah Istimewa Yogyakarta,Indonesia,-7.799716,110.350911,Baik,swasta,NULL,NULL
73,Sekolah Tinggi Ilmu Al-Qur'an Al-Lathifiyyah Palembang Sumatera Selatan,213564,NULL,-    ,7115701309,NULL,stiqlathifiyyah@gmail.com,-,Palembang,Sumatera Selatan,Indonesia,-2.952993,104.746909,NULL,swasta,NULL,NULL
74,IAIN Langsa,202025,IAIN Langsa,-    ,(0641) 23129,(0641) 425139,info@iainlangsa.ac.id,-,Langsa,Aceh,Indonesia,4.458442,97.969757,B,swasta,NULL,NULL
75,Universitas Sulawesi Tenggara,91015,NULL,93121,0401  328447,0401  329596, unsulra86@gmail.com,Jalan Piere Tendean No 109 A ,Konawe Selatan,Sulawesi Tenggara,Indonesia,-4.0418472,122.478244,Baik,swasta,NULL,NULL
76,Sekolah Tinggi Ilmu Pertanian Amuntai,113054,STIPER Amuntai,71417,"052761373, 62202",Belum Ada,stiperamuntai@hotmail.com,Jalan Bihman Villa No.7B Amuntai Kabupaten Hulu Sungai Utara Propinsi Kalimantan,Hulu Sungai Utara,Kalimantan Selatan,Indonesia,-2.422552,115.262921,Baik,swasta,NULL,NULL
77,Sekolah Tinggi Agama Kristen Oikumene Timika,233362,STAK OIKUMENE TIMIKA,NULL,NULL,NULL,staktimika20@gmail.com,NULL,Donggala,Sulawesi Tengah,Indonesia,-0.5482521,119.3046008,Baik,swasta,NULL,NULL
78,STAI Hasan Jufri Bawean,213054,STAIHA BAWEAN,61181,325423738,325423738,adm.2010.hasri@gmail.com,KEBUNAGUNG LEBAK SANGKAPURA ,Gresik,Jawa Timur,Indonesia,-5.8411058,112.6289754,Baik,swasta,NULL,NULL
79,STIKES Yogyakarta,53041,STIKES Yogyakarta,55162,(0274) 2870661,NULL,stikesyo@gmail.com,Jln. Nitikan Baru No. 69 Yogyakarta ,Yogyakarta,Daerah Istimewa Yogyakarta,Indonesia,-7.820481,110.382613,Baik,swasta,NULL,NULL
80,Akademi Keperawatan Intan Martapura,114099,NULL,70611,5114721812,5114721812,intanakperybip@gmail.com , Jl. Samadi No. 01 RT.01 RW.01 Kel. Jawa Kec. Martapura Kota Kab. Banjar  Kalima,NULL,NULL,Indonesia,0,0,NULL,swasta,NULL,NULL
81,Sekolah Tinggi Arsitektur YKPN Yogyakarta,53050,STARS YKPN,NULL,274587469,NULL,admin@starsykpn.ac.id,"Jl. Gagak Rimang No.1, Klitren, Kec. Gondokusuman, Kota Yogyakarta, Daerah Istimewa Yogyakarta ",Yogyakarta,Daerah Istimewa Yogyakarta,Indonesia,-7.785073,110.3829713,Baik,swasta,NULL,NULL
82,Universitas Azzahra,31040,Universitas Azzahra,13320,(021) 2800647,(021) 2800055,kampus@azzahra.ac.id,"Jl Jatinegara Barat No 144 Kel. Kampung Melayu Kec.Jatinegara, Jakarta Timur",NULL,NULL,Indonesia,0,0,Baik,swasta,NULL,NULL
83,Universitas Sains dan Teknologi Indonesia,171052,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Indonesia,0,0,NULL,swasta,NULL,NULL
84,Sekolah Tinggi Agama Hindu Dharma Sentana Sulawesi Tengah,243004,STAH-DS,94119,4.51E+11,4.51E+11,stah_ds@yahoo.co.id,Jl. Roviega No. 29 Kel. Tondo Kec. Mantikulore,Tual,Maluku,Indonesia,-5.3518718,131.6001903,Baik Sekali,swasta,NULL,NULL
85,Sekolah Tinggi Keguruan dan Ilmu Pendidikan Seram Raya,123073,STKIP Seram Raya,NULL,NULL,NULL,stkipseramraya@gmail.com,NULL,Seram Bagian Barat,Maluku,Indonesia,-3.3840985,128.3827131,Baik,swasta,NULL,NULL
86,Sekolah Tinggi Islam Sunniyyah Selo Grobogan,213698,STISS GROBOGAN,58191,81229781151,NULL,stissgrobogan@gmail.com,"Jl. Makam Ki Ageng, Selokrajan, desa Seo, Kecamatan Tawangharjo, Kabupaten Grobogan, Provinsi Jawa Tengah",Grobogan,Jawa Tengah,Indonesia,-7.098247,111.0007042,Baik,swasta,NULL,NULL
87,Universitas Muhammadiyah Maluku,121020,UNIMKU,NULL,82211251748,NULL,akademik@unimku.ac.id,NULL,Ambon,Maluku,Indonesia,-3.6796153,128.2164252,Baik,swasta,NULL,NULL
88,Sekolah Tinggi Ilmu Ekonomi Patria Artha,93086,NULL,90222,411430135,411434253,stiepa@indosat.net.id,"Jl Boulevard, Jascinth I No 1 Panakukkang Mas",NULL,NULL,Indonesia,0,0,NULL,swasta,NULL,NULL
89,STISIP Tasikmalaya,43110,STISIP,46111,265341748,265343940,stisip.tasik@gmail.com,Jalan Gunung Pongpok III No 29 ,NULL,NULL,Indonesia,0,0,Baik,swasta,NULL,NULL
90,Akademi Kebidanan Sentral Padang Sidempuan,14125,AKBID SENTRAL PSP,22728,0634 22213,0634 22213,akbidsentralpsp@gmail.com,"Jl Tandang Mulia Hrp No 1 Komp Sidimpuan Baru 
kelurahan Silandit
Kota Padangs",Padangsidimpuan,Sumatera Utara,Indonesia,1.3703827,99.2924002,Baik,swasta,NULL,NULL
91,STIT Insan Kamil Bogor Jawa Barat,213181,STIT INKA BOGOR,16119,2517547742,2518638343,info@stitinsankamil.ac.id,Jl. R. Aria Surialaga Batutapak ,Bogor,Jawa Barat,Indonesia,-6.6011441,106.7833471,Baik,swasta,NULL,NULL
92,Institut Agama Islam Muhammadiyah Bima ,212054,IAIM Bima,84116,(0374) 44646,Fax : (0374) 45267 ,Iaimuhbima015@gmail.com,"Jln. Anggrek Nomor: 16 Ranggo Nae, Rasanae Barat",Bima,Nusa Tenggara Barat,Indonesia,-8.4510527,118.7309647,Baik,swasta,NULL,NULL
93,Akademi Keperawatan Yappi Sragen,64090,Akper YAPPI,57212,82137654277,0271 893331,akperyappi@yahoo.com,Jalan KH Agus Salim No 50 ,Sragen,Jawa Tengah,Indonesia,-7.4339432,111.0102367,Baik,swasta,NULL,NULL
94,Sekolah Tinggi Teknologi Muhammadiyah Cileungsi,43253,STTMC,16820,021 82495502,021 82480034,sttmcls.04@gmail.com,Jl Anggrek No 86 Perum PTSC ,Bogor,Jawa Barat,Indonesia,-6.399083,106.965727,NULL,swasta,NULL,NULL
95,STT Advent Papua ,233272,NULL,0,81297713252, ,admin@sttap.ac.id," JALAN SENTANI - DEPAPRE, DOYO BARU, SENTANI, PAPUA",NULL,NULL,Indonesia,0,0,Baik,swasta,NULL,NULL
96,Politeknik Aceh Selatan,135003,Poltas,23176,656323749,656323749,humas@poltas.ac.id,"Jl. Merdeka Komplek Reklamasi Pantai Kota Tapaktuan, Kabupaten Aceh Selatan",Aceh Selatan,Aceh,Indonesia,3.2538795,97.1801595,Baik,swasta,NULL,NULL
97,ASMI KMPI Samarinda,114016,NULL,11111,NULL,NULL,NULL,Jl M Yamin Rt 05 Kel Sempaja ,NULL,NULL,Indonesia,0,0,NULL,swasta,NULL,NULL
98,Sekolah Tinggi Ilmu Ekonomi Palangka Raya,113016,STIE,73112,5363222448,(0536)3222448,stiepalangkaraya71@gmail.com,Jalan Yos Sudarso No 15 ,Palangkaraya,Kalimantan Tengah,Indonesia,-2.2124414,113.9091886,Baik,swasta,NULL,NULL
99,Sekolah Tinggi Ilmu Ekonomi Nusantara Makassar,93053,STIENUS,90111,4113634463,4113639368,stienusmakassar@gmail.com,Jalan Ujung Pandang No 5 (Ruko Taman Bahari) Makassar,NULL,NULL,Indonesia,0,0,Baik,swasta,NULL,NULL
100,Sekolah Tinggi Teologi Pelita Kebenaran,233198,NULL,0, 061  8360038, 061  8360041, sttmipk@gmail.com, ,NULL,NULL,Indonesia,0,0,Baik,swasta,NULL,NULL
101,Sekolah Tinggi Ilmu Kesehatan Kesdam IV / Diponegoro,63125,STIKES KESDAM IV DIP,50245,(024) 3550658,(024) 3550658,info@stikeskesdam4dip.ac.id,"Jl. HOS Cokroaminoto No.4 - 5, Kelurahan Barusari, Kecamatan Semarang Selatan, Kota Semarang, Jawa Tengah",Semarang,Jawa Tengah,Indonesia,-6.9853161,110.4057839,Baik,swasta,NULL,NULL
102,Universitas Dayanu Ikhsanuddin,91006,UNIDAYAN,93711,4022821327,4022826682,info@unidayan.ac.id,Jalan Yos Sudarso No 43 ,Bau Bau,Sulawesi Tenggara,Indonesia,-5.489228,122.572691,Baik Sekali,swasta,NULL,NULL
103,Politeknik Pajajaran Insan Cinta Bangsa Bandung,45002,Poljan,40124,227104355,227104355,info@poljan.ac.id,Grand Surapati Core Jl.Phh Mustofa no.39B,Bandung,Jawa Barat,Indonesia,-6.901462,107.652344,Baik,swasta,NULL,NULL
104,STKIP Islam Bumi Ayu,63083,STKIP ISLAM,52276,0289 432032,0289 430003,stkipislambumiayu@yahoo.com,Bumiayu ,NULL,NULL,Indonesia,0,0,NULL,swasta,NULL,NULL
105,Akademi Refraksi Optisi Kartika Indera Persada,34199,ARO Kartika Indera P,10510,2142881253,2142881252,inderapersadakartika@yahoo.co.id,"Gedung Indera Sentra Unit AP 
Jl. R. Suprapto No. 60 Cempaka Putih Jakarta Pusa",NULL,NULL,Indonesia,0,0,NULL,swasta,NULL,NULL
