campus_name,alamat,kota
Sekolah Tinggi Ilmu Ekonomi Studi Ekonomi Modern,Nan,Sukoharjo
Sekolah Tinggi Agama Islam Tanbihul Ghofilin Banjarnegara,"Jl. Raya Tampomas-Bawang Km. 07, Kabupaten Banjarnegara",Banjarnegara
Stimik Supra,Jl Letjen S Parman Kav 76,Nan
Akademi Kebidanan Duta Dharma Pati,Jalan Raya Pati - Kudus Km.6,Pati
Universitas Muhammadiyah Sampit,Nan,Kotawaringin Timur
Stain Malikussaleh,"Jl. Medan-Banda Aceh Km. 275 No.1, Buket Rata, Lhokseumawe, Aceh",Lhokseumawe
Sekolah Tinggi Ilmu Kesehatan Tarumanagara,Nan,Administrasi Jakarta Selatan
Akademi Analis Kesehatan Delima Husada Gresik,Gresik,Gresik
Sekolah Tinggi Teologi Tabgha Batam,Nan,Batam
Universitas Kaltara,Jl. Sengkawit Rt.023 Tanjung Selor Kabupaten Bulungan Kalimantan Utara,Bulungan
Stikes Amanah Makassar,Jl. Meranti Raya No. 1 Panakukang Makassar,Nan
Sekolah Tinggi Teknik Atlas Nusantara,Jalan Teluk Pacitan No 50 Arjosari Lantai 1,Malang
Akademi Pariwisata Dan Perhotelan Ganesha,"Jalan Teluk Mandar Tomol Pos 5, Arjosari - Malang",Malang
Akademi Kebidanan Muhammadiyah Banda Aceh,Jl Punge Blang Cut Lr. Penyantun Banda Aceh,Nan
Universitas Asahan,Jalan Jenderal Ahmad Yani Asahan,Asahan
Universitas Bina Sehat Ppni Mojokerto,Nan,Mojokerto
Sekolah Tinggi Pariwisata Bogor,Jl. Curug Mekar No. 17 Yasmin,Bogor
Akademi Farmasi Propinsi Jambi,Jln. H.Agus Salim No. 23 Kota Baru Jambi,Jambi
Institut Keislaman Hasyim As`Ari (Ikaha) Tebuireng Jombang,Jl. Irian Jaya 55 Tebuireng Jombang,Nan
Sekolah Tinggi Ilmu Kesehatan Kendedes,Malang,Malang
Stkip Muhammadiyah Palopo,Jl. Jend. Sudirman Km. 3 Binturu,Palopo
Akademi Ilmu Komunikasi Padang,Jend Sudirman No 18,Nan
Akademi Kebidanan Medica Alas Leuser,"Jl. Kutacane - Blangkejeren Km. 4 Tanah Merah, Kutacane - Kabupaten Aceh Tenggar",Nan
Akademik Kebidanan Armina Centre Panyabungan,Jalan William Iskandar 176,Subulussalam
Sekolah Tinggi Ilmu Ekonomi Rahmaniyah,Jalan Merdeka No 531 Sekayu,Nan
"Stai Ddi Mangkoso, Barru, Sulawesi Selatan","Jl. Poros Makassar-Parepare, Mangkoso, Kec. Soppeng Riaja Kab. Barru Prov. Sulaw",Barru
Sekolah Tinggi Ekonomi Dan Bisnis Islam (Stebis) Muhammadiyah Sumedang,-,Natuna
Universitas Nahdlatul Ulama Kalimantan Selatan,Jl. Ahmad Yani Km. 12.5,Banjar
Akademi Kebidanan Ummi Khasanah,Jalan Pemuda Gandekan Bantul,Purworejo
Institut Teknologi Indonesia,Jalan Raya Puspiptek Serpong,Tangerang Selatan
Sekolah Tinggi Ilmu Administrasi Satya Negara,Jalan Sukarejo Sukatani,Nan
Stisip Pusaka Nusantara,"Jl Taruna Pahlawan Revolusi 89 Pondok Bambu, Kalimalang",Nan
Stebi Global Mulia Cikarang,-,Bekasi
Sekolah Tinggi Guru Huria Hkbp Sipoholon,-,Tapanuli Utara
Akademi Analis Kesehatan Ypm Sidoarjo,"Jl Raya Ngelom No 86 Taman, Sepanjang",Nan
Universitas Muhammadiyah Kotabumi,"Jln. Hasan Kepala Ratu No. 1052 Sindangsari Kotabumi, Lampung Utara 34517",Lampung Utara
"Stai Syarif Muhammad Raha, Muna, Sulawesi Tenggara",Jl. Pendidikan Kel. Raha Iii Kec. Katobu,Muna
Sekolah Tinggi Manajemen Taman Pendidikan 45,Jalan Gadung No. 32 Denpasar-Bali,Nan
Akademi Akuntansi Yai Jakarta,Jl. P. Diponegoro No 74 Jakarta Pusat,Administrasi Jakarta Pusat
Sekolah Tinggi Ilmu Ekonomi Stembi,Jalan Buah Batu No 26,Nan
Sekolah Tinggi Penyuluhan Pertanian Gowa,Jl. Malino Km. 7 Romanglompoa Kab. Gowa Provinsi Sulawesi Selatan,Gowa
Universitas Potensi Utama,"Jl. K.L. Yos Sudarso Km 6,5 No. 3A Tanjung Mulia - Medan",Medan
Stikes Bhakti Husada Bengkulu,Jalan Kinibalu 8 Kebun Tebeng Bengkulu,Bengkulu
Universitas Katolik De La Salle,Kairagi I Kombos Manado Sulawesi Utara,Manado
Sti Ekonomi Syari`Ah Baktiya Aceh Utara,Jln. Blang Glumpang Gampong Alue Serdang Kecamatan Baktiya Kabupaten Aceh Utara,Aceh Utara
Universitas Muhammadiyah Metro,Jl Ki Hajar Dewantara No 116 Iringmulyo Kec Metro Timur,Lampung Timur
Politeknik Belitung,Nan,Belitung
Stmik Aub Surakarta,"Jalan Mw Maramis 29 Cengklik, Nusukan",Surakarta
Stmik Budi Darma,Jalan Sisingamangaraja No 338 Sp. Limun,Nan
Stmik Surabaya,Jl Raya Kedung Baruk No 98,Nan
Stit Diniyyah Puteri Rahmah El-Yunusiyyah Kota Padang Panjang,"Jl. Abdul Hamid Hakim, No. 30. Padang Panjang, Sumatera Barat",Padang Panjang
Stt Tabernakel Indonesia Surabaya,Jl. Johor No. 47,Surabaya
Sekolah Tinggi Ilmu Kesehatan Patriot Bangsa Lampung,Nan,Bandar Lampung
Poltekkes Kemenkes Tasikmalaya,Jl. Cilolohan No. 35 Tasikmalaya,Tasikmalaya
Sekolah Tinggi Ilmu Ekonomi Paripurna,Nan,Tangerang
Sekolah Tinggi Ilmu Ekonomi Kbp,Jalan Khatib Sulaiman No 61,Padang
Politeknik Industri Furnitur Dan Pengolahan Kayu,Nan,Kendal
Sekolah Tinggi Ilmu Ekonomi Pelita Bangsa,Nan,Nan
Universitas Galuh,Jalan R.E. Martadinata No. 150,Ciamis
Stikom Muhammadiyah Jayapura,Jalan Abepantai No 25 Tanah Hitam,Jayapura
Politeknik Jambi,Jalan Lingkar Barat Iii Lrg Veteran Kelurahan Bagan Bete Kecamatan Kotabaru Jamb,Jambi
Sekolah Tinggi Agama Hindu Negeri Jawa Dwipa Klaten Jawa Tengah,Nan,Nan
Institut Islam Nahdlatul Ulama Temanggung,Nan,Temanggung
Stai Al-Hamidiyah Bangkalan,Jl. Raya Kh. Zarkasyi No. 74 Sen-Asen Konang 69175 Bangkalan,Bangkalan
Akademi Manajemen Banda Aceh,Jl. Medan Banda Aceh Km.120 Bukit Rata Kuala Simpang Kabupaten Aceh Tamiang Prop,Nan
Sekolah Tinggi Ilmu Agama Buddha Jinarakkhita,"Jl. Raya Suban No. 86, Kel. Pidada, Kec. Panjang Bandar Lampung 35241",Lampung Tengah
Stkip Siliwangi,Jl Terusan Jenderal Sudirman - Cimahi,Cimahi
Sekolah Tinggi Ilmu Ushuluddin Masjid Al Akbar Surabaya Jawa Timur,"Jalan Masjid Al Akbar Kabupaten Surabaya, Jawa Timur",Nunukan
Universitas Karya Husada Semarang,Nan,Semarang
Akademi Keperawatan Dr. Soedono Madiun Prov. Jawa Timur,Jl.Imam Bonjol No.1 Madiun,Nan
Stai Azzakiyah Ujungberung Bandung,-,Nan
Stmik Pgri Tangerang,Jalan Perintis Kemerdekaan Ii Cikokol,Tangerang
Sekolah Tinggi Ilmu Ekonomi Y P Kampus,Jalan St Soripada Mulia 64 A Padangsidimpuan Utara,Nan
Sekolah Tinggi Ilmu Al-Qur'An Ash-Shiddiq,"Jalan Hidayatullah, Dusun Ii, Desa Bandar Labuhan, Kecamatan Tanjung Morawa",Deli Serdang
Akademi Pertanian Hkti Banyumas,Jalan Raya Purwokerto Km 12 Kalibagor,Nan
Poltekkes Kemenkes Manado,Jl. R. W. Mongisidi Malalayang Ii Manado,Manado
Akademi Fisioterapi St Lukas Tomohon,Tomohon,Nan
Sekolah Tinggi Ilmu Ekonomi Taman Siswa,"Jalan Garuda No 44, Kemayoran",Nan
Akademi Pimpinan Perusahaan,Jl. Timbul No. 34 Kelurahan Cipedak Kecamatan Jagakarsa Jakarta Selatan,Nan
Akademi Teknik Industri Makassar,Jl. Sunu No. 220,Nan
Politeknik Perikanan Negeri Tual,Jalan Langgur-Sathean Km. 6,Maluku Tenggara
Universitas Sulbar Manarang,Nan,Nan
Stai Alma Ata Yogyakarta,Jl. Ringroad Barat Daya No. 01 Tamantirto Yogyakarta,Nan
Akademi Keperawatan Gunungsitoli Pemerintah Kabupaten Nias,Jl. Iraonogeba Kota Gunungsitoli,Nan
Sekolah Tinggi Agama Katolik Negeri Pontianak,"Jl. Parit Haji Muksin 2, Km 2 Kubu Raya",Kubu Raya
Sekolah Tinggi Teologi Inalta,"Jl. Rempoa Permai No. 1-2, Bintaro, Pesanggrahan, Jakarta Selatan.",Nan
Sekolah Tinggi Teologi Agape Manado,"Gedung Percetakan Negara, Jl. Lumimuut No. 2 Tikala Manado",Nan
Akademi Keperawatan Sumber Waras,Jl .Kyai Tapa Grogol,Wakatobi
Universitas Muhammadiyah Jember,Jalan Karimata No 49,Jember
Stkip Sera,Jl. Mh Thamrin Komplek Mahkota Mas Blok E 28-30,Nan
Universitas Pradita,"Scienta Busines Park, Jl. Gading Serpong Boulevard No.1 Curug Tangerang, Kelapa Dua, Tangerang Banten 15810",Tangerang
Sekolah Tinggi Ilmu Syari`Ah Miftahul Ulum Lumajang,Jl. Raya Banyuputih Kidul Po. Box. 101 Kecamatan Jatiroto Kabupatenlumajang,Lumajang
Universitas Brawijaya,Jalan Veteran,Malang
"Stai Babunnajah Pandeglang, Banten",Jl. Eks Stasiun Kereta Api Kp. Benteng Cimanying Menes Pandeglang Banten,Pandeglang
Institut Teknologi Dan Bisnis Arungpalakka,Nan,Bone
Universitas Islam Lamongan,Jalan Veteran 53A Lamongan Jawa Timur,Lamongan
Politeknik Seni Yogyakarta,Klidon Sukoharjo Ngaglik Sleman,Sleman
Akademi Keperawatan Teungku Fakinah Banda Aceh,Jalan Jenderal Sudirman No 27-29 Banda Aceh,Banda Aceh
Sekolah Tinggi Bahasa Asing Prayoga,Jalan Veteran No 8 Padang Sumbar,Padang
Universitas Al-Qolam Malang,"Jalan Raya Putat Lor Rt. 11, Rw. 02. Desa Putat Lor, Kecamatan Gondanglegi",Malang
Universitas Sains Dan Teknologi Jayapura,"Jl Raya Sentani Padang Bulan Abepura, Jayapura - Papua",Jayapura
Politeknik Meta Industri Cikarang,"Jalan Inti I Blok C1 No. 7, Lippo Cikarang, Cikarang Bekasi",Bekasi
Politeknik Malinau,Malinau,Malinau
Sekolah Tinggi Ilmu Maritim Ami,"Jl Pacuan Kuda No 1-5 Pulomas, Jakarta Timur",Administrasi Jakarta Timur
Sekolah Tinggi Bahasa Asing Cakrawala Nusantara,"Jalan Bunga Jati No 88 Oesapa, Kelapa Lima",Nan
Sekolah Tinggi Teknologi Jawa Barat,"Jl Ciganitri Terusan Buah Batu, Desa Cipagalo, Kec. Bojongsoang",Nan
Sekolah Tinggi Ilmu Kesehatan Panti Wilasa,Nan,Badung
Stikes Wijaya Husada Bogor,Jl Raya Sindang Barang Km 86,Bekasi
Sekolah Tinggi Ilmu Ekonomi Miftahul Huda,Jalan Rancasari Dalam No B-33 Pamanukan,Bandung
Akademi Kebidanan Ar-Rahma,Jalan Raya Carat Gempol,Bojonegoro
Akademi Keperawatan Purna Bhakti Husada,Jl Dt Bandaro Nan Kuning Kuru Rajo Lima Kaum,Nan
Sekolah Tinggi Ilmu Kehutanan Pante Kulu,Jalan Teuku Nyak Arief Darussalam,Aceh Besar
Akademi Perkeretaapian Indonesia Madiun,"Jl. Tirta Raya, Kota Madiun, Jawa Timur",Madiun
Stikes Muhammadiyah Tasikmalaya,Jalan Tamansari Gobras,Nan
Akademi Analis Kesehatan Unmuh Surabaya,Jalan Sutorejo No 59,Nan
Stikes Pamenang,Nan,Kediri
Institut Bio Scientia Internasional Indonesia,Jl. Pulomas Barat Kav 88,Administrasi Jakarta Timur
Akademi Kebidanan Bunga Bangsaku Bangka,Nan,Ogan Komering Ilir
Akademi Kebidanan Annisa Jaya,Nan,Nan
Sekolah Tinggi Ilmu Budaya Islam Syekh Jangkung Pati,"Jalan Kayen Sukolilo Km.01 Desa Kayen, Kecamatan Kayen, Kabupaten Pati, Provinsi Jawa Tengah",Pati
Sekolah Tinggi Ekonomi Islam Fitrah Insani,"Jalan Raya Gadobangkong Nomor 91 Rt 002 Rw 001, Desa Gadobangkong, Kecamatan Ngamprah",Nan
Politeknik Negeri Ketapang,"Jalan Rangge Sentap, Desa Dalong, Kecamatan Delta Pawan",Ketapang
Akademi Keperawatan Kerta Cendekia Sidoarjo,Jl Lingkar Timur Rangkah Kidul,Sidoarjo
"Stai Darussalam Martapura, Kalimantan Selatan",Komplek Pp Darussalam Jl. Perwira Martapura,Banjar
Sekolah Tinggi Ilmu Ekonomi Muhammadiyah Palopo,Jalan Jend Sudirman Km 03 Binturu Kota Palopo,Palopo
Poltekkes Kemenkes Palangkaraya,Jalan George Obos No. 30 / 32,Palangkaraya
Sekolah Tinggi Alkitab Jember,Jl. Letjen Soeprapto Gg. Vi/85 Jember Jatim,Bogor
Akademi Komunitas Darussalam Blokagung,Nan,Banyuwangi
Institut Agama Islam K.H. Sufyan Tsauri Majenang,"Jalan Kh. Sufyan Tsauri Desa Cibeunying, Kecamatan Majenang",Nan
Universitas Panca Marga,Jl Yos Sudarso Pabean Dringu,Probolinggo
Stt Institut Injil Indonesia Batu (I-3),Jalan Trunojoyo No.12 Kota Wisata Batu-Jawa Timur,Nan
Universitas Dr. Djar Wattiheluw,Nan,Nan
Politeknik Pekerjaan Umum,Nan,Semarang
Sekolah Tinggi Teologi Saat,"Jalan Bukit Hermon No. 1, Tidar Atas, Malang 65151, Jawa Timur.",Malang
Sekolah Tinggi Teologi Injili Indonesia Manado,,Nan
Universitas Nahdlatul Ulama Sidoarjo,Jalan Monginsidi Dalam Kav. Dpr Sidoklumpuk Sidoarjo,Sidoarjo
Stai As`Adiyah Sengkang Wajo,Jl. Veteran No 46 Sengkang,Nan
Sekolah Tinggi Ilmu Ekonomi Muhammadiyah Samarinda,Jalan Ir H Juanda No 15,Nan
Akademi Keperawatan Dirgahayu Samarinda,Jalan Pasundan No. 21,Nan
Stit Uluwiyah Mojosari Mojokerto,Jl. Raya Mojosari Mojokerto Km.4 Mojokerto Jawa Timur Indonesia,Nan
Sekolah Tinggi Ilmu Administrasi Sandikta,Jalan Hankam No 208 Jatirahayu Pondok Gede,Bekasi
Institut Agama Islam Lukman Edy,Nan,Pekanbaru
Universitas Muhammadiyah Buton,"Jalan Betoambari No 36, Lanto, Batupoara",Bau Bau
Sekolah Tinggi Teknologi Dirgantara Makassar,Jalan Poros Makassar Maros 22,Nan
Universitas Islam Nusantara,Jalan Soekarno-Hatta No. 530,Bandung
Stikes Panca Atma Jaya,Jl. Ngurah Rai No. 27 Semarapura,Klungkung
Universitas La Tansa Mashiro,Nan,Lebak
Akademi Angkatan Udara (Aau),,Sleman
Sekolah Tinggi Ilmu Kesehatan Duta Gama Klaten,"Jl. Solo - Jogja Km.5 Ngaran, Mlese, Ceper, Klaten",Klaten
Sekolah Tinggi Agama Kristen Mesias Sorong,,Toli Toli
Stmik Aki Pati,Jalan Kamandowo No 13,Pati
Stt Yesyurun Arastamar Seriti Luwu,,Luwu
Sekolah Tinggi Ilmu Kesehatan Pemkab Purworejo,Nan,Purworejo
Akademi Akuntansi Lampung,Jalan Pelita I No 24-B Labuhan Ratu,Nan
Universitas Satyagama,Jalan Kamal Raya No 2-A Cengkareng,Administrasi Jakarta Barat
Akademi Kebidanan Medica Obgin,Jl. Raya Lembang No. 110,Nan
Universitas Tompotika Luwuk,Jalan Dewi Sartika No 67 Luwuk,Banggai
Sekolah Tinggi Ilmu Syariah Haji Abdul Rasyid Lombok Tengah,Jl. Al Barokah Penangsak Desa Sengkerang Praya Timur Kabupaten Lombok Tengah,Lombok Tengah
Sekolah Tinggi Ilmu Administrasi Malang,Jalan Baiduri Bulan No 1,Kaimana
Sekolah Tinggi Bahasa Asing Jia,Jl. Cut Muthia No. 30 Kotamadya Bekasi,Bekasi
Stkip Muhammadiyah Lumajang,Jalan Brantas No 7,Lumajang
Sekolah Tinggi Ilmu Psikologi Harapan Bangsa,Jl Jendral Sudirman N0 27-29,Banda Aceh
Amik Tomakaka,Jalan Ir H Juanda No 7744,Nan
Akademi Perikanan Qomaruddin,,Nan
Stt Injili Di Palembang,Nan,Kepulauan Anambas
Universitas Katolik Weetebula,Nan,Sumba Barat Daya
Universitas Abdul Azis Lamadjido,Nan,Nan
Stikes Sebelas April Sumedang,Jalan Anggrek Situ No 19,Nan
Sekolah Tinggi Teologi Berea Salatiga,Jl. Cemara 72 Rt 04 Rw 06 Kelurahan Sidorejo Lor Kecamatan Sidorejo,Salatiga
Sekolah Tinggi Ilmu Hukum Dharma Andhiga,Jalan Veteran No 46 Jembatan Merah,Bogor
Akademi Kebidanan Keluarga Bunda Jambi,Jl Bachsan Siagian Rt-07 Kelurahan Pasir Putih,Nan
Stt Arastamar Mataram,Jln Pemuda 71 Mataram,Mataram
Iain Bukittinggi,-,Agam
Universitas Ars Internasional,Jl Sekolah Internasional No 1 Antapani,Nan
Sekolah Tinggi Ilmu Dakwah Surakarta (Stids),-,Nan
Sekolah Tinggi Alkitab Batu Malang,"Jl. Raya Beji No.7-9 Beji, Kec. Junrejo, Kota Wisata Batu, Jawa Timur",Batu
Politeknik Gusdurian,Nan,Banyumas
Stkip Al Hikmah Surabaya,Jl. Kebonsari Elveka V Surabaya,Surabaya
Akademi Kebidanan Wira Buana,"Jalan A.H Nasution No 243, Rt 15 Rw.08 Kel. Yosodadi",Metro
"Stai Ddi Parepare, Sulawesi Selatan","Jalan Abu Bakar Lambogo No. 53, Kompleks Pondok Pesantren Ddi Ujung Lare Kecamat",Kepulauan Talaud
Stai Asshiddiqiyah Karawang,Dusun Krajan Desa Pasirukem Kecamatan Cilamaya Kulon,Karawang
Universitas Sari Mutiara Indonesia,Jalan Kapten Muslim No. 79 Medan,Labuhanbatu Selatan
Sekolah Tinggi Keguruan Dan Ilmu Pendidikan Invada Cirebon,Nan,Majalengka
Institute Agama Buddha Nasional Divyarajya,"Gedung De Ploeit Centrale Lantai 7, Jl. Pluit Selatan Raya, Blok Q",Nan
Stai Hasanuddin Pare Kediri,Jl. Kelapa 84 Jombangan Tertek Pare Kediri,Kediri
Sekolah Tinggi Filsafat Islam (Stfi) Sadra Jakarta,Jln. Lebak Bulus Ii No.2 Cilandak Jakarta Selatan 12430,Administrasi Jakarta Selatan
Sekolah Tinggi Ilmu Tarbiyah Misbahudin Ahmad,Nan,Nan
Sekolah Tinggi Teknik Multimedia Internasional Malang,Nan,Nan
Institut Kh. Ahmad Sanusi Sukabumi,"Jalan Bhayangkara Nomor 33 Rt 004 Rw 006, Kelurahan Gunung Puyuh, Kecamatan Gunung Puyuh",Nan
Universitas Harapan Medan,Jln. H.M. Joni No. 70 C Medan,Medan
Stkip Muhammadiyah Pringsewu,Jalan Makam Kh Ghalib No 112 Pringsewu Lampung,Nan
Akademi Keperawatan Yayasan Dharma Bhakti Jakarta,"Jl. Jagakarsa Raya No. 20, Ciganjur",Nan
Politeknik Manufaktur Astra,Jl Gaya Motor Raya No 8 Gedung B Lantai 5 Komplek Astra International Sunter Ii,Administrasi Jakarta Utara
Stikes Bina Sehat Ppni Mojokerto,"Jl Raya Jabon Km 6, Gayaman Mojoanyar",Luwu Utara
Stikesmas Nusantara,Jl Insp Marzuki No 124 Siring Agung Pakjo,Palembang
Universitas Janabadra,Jl Tentara Rakyat Mataram 55,Yogyakarta
Stmik Bina Bangsa,Jalan Merdeka Timur No 92,Nan
Akademi Akuntansi Indonesia Padang,Jalan Veteran Dalam No 26 B,Natuna
Universitas Tjut Nyak Dhien,Jalan Gatot Subroto / Jl. Rasmi No. 28,Nan
Stmik Widya Dharma,Jalan Hos Cokroaminoto No 445,Nan
Akademi Kebidanan Medistra Lubuk Pakam,Jalan Sudirman No 38 Lubuk Pakam,Deli Serdang
Akademi Pariwisata Indonesia Jakarta,"Jl H. Ahmad, Pahlawan Revolusi, Pondok Bambu, Jakarta Timur",Nan
Akademi Keperawatan Pemkab Gresik,Jl. Dr. Wahidin Sudirohusodo No. 243A,Nan
Stit Muhammadiyah Bojonegoro,Jl. Dr. Setyo Budi No. 03 Klangon Bojonegoro,Gresik
Akademi Keperawatan Kesdam I/Bukit Barisan Binjai,Jl. Bandung No. 4 Binjai,Binjai
Sekolah Tinggi Theologia Injili Indonesia Pontianak,Jl. Aris Margono No. 7 Pontianak-Kalimantan Barat,Pontianak
Akademi Kebidanan Pemkab Karo Kabanjahe,,Nan
Universitas Dirgantara Marsekal Suryadarma,Komplek Bandar Udara Halim Perdanakusuma Jl Protokol Halim Pk - Jakarta,Kepulauan Talaud
Sekolah Tinggi Agama Islam Salahuddin (Stais) Pasuruan,Jl. Dr. Wahidin Sudiro Husodo 45 Pasuruan,Pasuruan
Akademi Kebidanan Kartini Bali,Jalan Piranha No 2 Sesetan,Denpasar
Institut Swadiri,Nan,Nan
Akademi Kebidanan Ibrahimy Situbondo,Pondok Pesantren Salafiyah Syafi'Iyah Sukorejo Situbondo,Situbondo
Sekolah Tinggi Ilmu Ekonomi Dharma Andalas,"Jalan Sawahan No. 103 A, Simpang Haru",Nan
Stikes Bhakti Pertiwi Luwu Raya,Jalan Imam Bonjol No 27,Nan
Stkip Pesisir Selatan,"Jln. Limau Sundai, Balai Selasa, Kecamatan Ranah Pesisir, Kabupaten Pesisir Sela",Pesisir Selatan
Politeknik Energi Dan Mineral Akamigas,Jl. Gajah Mada No. 38 Cepu - 58315 Kab. Blora Jawa Tengah,Blora
Universitas Sangga Buana,Jalan Phh Mustopa No 68,Bandung
Akademi Keperawatan Ypsbr Muara Bulian,"Jalan Pramuka, Muara Bulian",Nan
Stkip Insan Madani Airmolek,"Jl. Tanah Tinggi No. 17 Airmolek, Kecamatan Pasir Penyu, Kabupaten Indragiri Hul",Pelalawan
Institut Agama Islam Nurul Jadid Paiton Probolinggo (Iainj),Jl. Kh. Zaini Mun'Im Pp. Nurul Jadid Paiton Probolinggo,Nan
Akademi Kebidanan Menara Bunda,Kolaka,Kolaka
Stikes Insan Unggul Surabaya,Jl. Raya Kletek No. 4 Taman,Sidoarjo
Stkip Modern Ngawi,Jl. A. Yani 99 Beran Ngawi,Ngawi
Universitas Negeri Medan,Jalan Willem Iskandar Pasar V Medan Estate,Deli Serdang
Akademi Perekam Medik Dan Infokes Imelda,"Jl. Bilal No 24 Kelurahan Pulo Brayan Darat I,",Nan
Akademi Keperawatan Yky Yogyakarta,Jl Sonosewu Ds Vi Ngestiharjo Kasihan Bantul,Yogyakarta
Universitas Muhammadiyah Kudus,Nan,Kudus
Akademi Kebidanan Abdurahman,Jl. Sukajaya No.7 Rt.05 Rw.01 Kelurahan Sukabangun Kecamatan Sukarami,Kepulauan Anambas
Sekolah Tinggi Ilmu Tarbiyah Rakeyan Santang Karawang Jawa Barat,Jl. Stadion Kp Mekar Baru Rt.03 Rw. 03 Desa Cikampek Kota Kecamatan Cikampek,Karawang
Akademi Manajemen Industri Surakarta,,Nan
Universitas Muhammadiyah Purworejo,Jalan Kh Ahmad Dahlan No 3,Purworejo
Stt Gereja Injili Di Indonesia,,Pegunungan Bintang
Sekolah Tinggi Hukum Indonesia Jentera,Puri Imperium Office Plaza Upper Ground Floor Unit 15 Jl. Kuningan Madya Kav. 5-,Administrasi Jakarta Selatan
Akademi Bahasa Asing Borobudur,Jalan Raya Kalimalang No 1,Nan
Stai Al-Kautsar,Jl. Lembaga Senggoro Bengkalis,Nan
"Stai Al-Azhar Gowa, Sulawesi Selatan","Jln. Tamangapa Raya Iii No. 16, Antang, Makassar Sulsel",Nan
Universitas Mahendradatta,Jalan Ken Arok No 12,Denpasar
Sekolah Tinggi Ilmu Ekonomi Urip Sumohardjo,Jl Urip Sumoharjo No 5-7,Nan
Akademi Kebidanan Wijaya Husada,Bogor,Tangerang
Politeknik Kelautan Dan Perikanan Sorong,Jl. Kapitan Pattimura Tanjung Kasuari Suprau Kotak Pos 118 Kota Sorong,Sorong
Universitas Wira Bhakti,Nan,Makassar
Sekolah Tinggi Ilmu Syariah Husnul Khotimah (Stishk) Kuningan,Desa Maniskidul Jalaksana Kabupaten Kuningan Jawa Barat,Kuningan
Akademi Kebidanan Persada Palembang,Jl Pangeran Ayin Simpang Blk Sukamaju Kenten,Nan
Sekolah Tinggi Keuangan Niaga & Negara Pembangunan,Jl Palapa Raya No 2 Pasar Minggu,Nan
Stmik Samarinda,Jalan Banggeris No 82,Samarinda
Akademi Keperawatan Notokusumo,Kampus I : Jl. Masjid Pa No 5 Yogyakarta Kampus Ii : Jl. Bener No 26 Tegalrejo,Nan
Akademi Akuntansi Ykpn,Jalan Gagak Rimang No 2-4 Balapan,Yogyakarta
Politeknik Darma Ganesha,"Jl. Sriwijaya No. 13 Tanjungpandan, Belitung",Belitung
Politeknik Kesehatan Siteba,Jalan Joni Anwar No 8 Lapai,Padang
Sekolah Tinggi Agama Islam Al-Bahjah Cirebon,Nan,Cirebon
Akademi Kebidanan Prestasi Agung,Jalan Sunan Giri No 5-A,Nan
Sekolah Tinggi Ilmu Ekonomi Syariah Riyadlul Jannah Mojokerto Jawa Timur,Jalan Ko. Hayam Wuruk Nomor 22 Kecamatan Mojokerto Jawa Timur,Mojokerto
Universitas Sebelas Maret,Jalan Ir Sutami 36-A Kentingan,Surakarta
Universitas Tri Tunggal,Jalan Kalijudan No 34-B,Nan
Politeknik Insan Tazakka,Nan,Karawang
Politeknik Lamandau,Jl. Jenderal Sudriman Rt. 12C Kel. Nanga Bulik,Lamandau
Stkip Muhammadiyah Bangka Belitung,Jl. K.H. Ahmad Dahlan Km 4,Kepulauan Talaud
Stit Pemalang,Jl. Di Panjaitan Km. 3 Paduraksa Pemalang Jawa Tengah,Pemalang
Stkip Paracendekia N W Sumbawa,"Jalan Lintas Sumbawa-Bima Km. 5 Sumbawa Besar, Ntb",Sumbawa
Akademi Keperawatan Pemkab Pidie Di Sigli,,Nan
Poltekkes Kemenkes Makassar,Jl. Wijaya Kusuma Raya No.46 Kel.Banta-Bantaeng Kec Rappocini Kota Makassar,Makassar
Sekolah Tinggi Teologi Global Jakarta,Nan,Nan
Sekolah Tinggi Ilmu Ekonomi Dahani Dahanai Buntok,Jl Cut Nyak Dien No 09 A,Barito Selatan
Sekolah Tinggi Ekonomi Islam Permata Bojonegoro,"Jl. Ade Irma Suryani 42 A, Kelurahan Sumbang, Kecamatan Bojonegoro, Kabupaten Bojonegoro Provinsi Jawa Timur",Bojonegoro
Universitas Bani Saleh,Nan,Bekasi
Sekolah Tinggi Ilmu Komputer 22 Januari Kendari,Nan,Nan
Akademi Farmasi Mitra Sehat Mandiri Sidoarjo,Jl. Ki Hajar Dewantara No.200 Krian Sidoarjo,Sidoarjo
Stisip Samudera Indonesia Selatan,Jl. Raya Mekarmukti Cijayana Mekarmukti Garut Jawa Barat,Garut
Universitas Muhammadiyah Muara Bungo,Nan,Bungo
Institut Keuangan-Perbankan Dan Informatika Asia Perbanas,"Jl Perbanas, Karet Kuningan",Bombana
Sekolah Tinggi Teknik Ypln,Menara Pln Jalan Lingkar Luar Barat Duri Kosambi Cengkareng,Nan
Sekolah Tinggi Ilmu Sosial Dan Politik Fajar Timur,Jl Meo Abekunatun No 26,Belu
Politeknik Komputer Niaga Lpkia,Jalan Soekarno Hatta No 456,Nan
Akademi Kebidanan Anugrah Abadi,Jl Dr Soetomo No 12,Nan
